Gene	Gene_ID	index
AKR1A1	ENSG00000117448	428
AKR1B1	ENSG00000085662	429
AKR1B10	ENSG00000198074	430
AKR1C1	ENSG00000187134	431
AKR1C2	ENSG00000151632	432
AKR1C3	ENSG00000196139	433
AKR1C4	ENSG00000198610	434
AKR1D1	ENSG00000122787	435
AKR1E2	ENSG00000165568	436
AKR7A2	ENSG00000053371	437
AKR7L	ENSG00000211454	438
AKT1	ENSG00000142208	439
AKT1S1	ENSG00000204673	440
AKT3	ENSG00000117020	441
AKTIP	ENSG00000166971	442
ALAD	ENSG00000148218	443
ALAS1	ENSG00000023330	444
ALAS2	ENSG00000158578	445
ALCAM	ENSG00000170017	446
ALDH1A1	ENSG00000165092	447
ALDH1A2	ENSG00000128918	448
ALDH1A3	ENSG00000184254	449
ALDH1B1	ENSG00000137124	450
ALDH1L1	ENSG00000144908	451
ALDH1L2	ENSG00000136010	452
ALDH3A1	ENSG00000108602	453
ALDH3A2	ENSG00000072210	454
ALDH3B1	ENSG00000006534	455
ALDH3B2	ENSG00000132746	456
ALDH4A1	ENSG00000159423	457
ALDH5A1	ENSG00000112294	458
ALDH6A1	ENSG00000119711	459
ALDH7A1	ENSG00000164904	460
ALDH8A1	ENSG00000118514	461
ALDH9A1	ENSG00000143149	462
ALDH16A1	ENSG00000161618	463
ALDH18A1	ENSG00000059573	464
ALG1	ENSG00000033011	465
ALG1L	ENSG00000189366	466
ALG2	ENSG00000119523	467
ALG3	ENSG00000214160	468
ALG5	ENSG00000120697	469
ALG8	ENSG00000159063	470
ALG9	ENSG00000086848	471
ALG10	ENSG00000139133	472
ALG10B	ENSG00000175548	473
ALG11	ENSG00000253710	474
ALG12	ENSG00000182858	475
ALG13	ENSG00000101901	476
ALG14	ENSG00000172339	477
ALK	ENSG00000171094	478
ALKBH1	ENSG00000100601	479
ALKBH2	ENSG00000189046	480
ALKBH3	ENSG00000166199	481
ALKBH4	ENSG00000160993	482
ALKBH5	ENSG00000091542	483
ALKBH6	ENSG00000239382	484
ALKBH7	ENSG00000125652	485
ALKBH8	ENSG00000137760	486
ALLC	ENSG00000151360	487
ALMS1	ENSG00000116127	488
ALOX5	ENSG00000012779	489
ALOX5AP	ENSG00000132965	490
ALOX12	ENSG00000108839	491
ALOX12B	ENSG00000179477	492
ALOX15	ENSG00000161905	493
ALOX15B	ENSG00000179593	494
ALOXE3	ENSG00000179148	495
ALPI	ENSG00000163295	496
ALPK1	ENSG00000073331	497
ALPK2	ENSG00000198796	498
ALPK3	ENSG00000136383	499
ALPL	ENSG00000162551	500
ALPP	ENSG00000163283	501
ALS2	ENSG00000003393	502
ALS2CL	ENSG00000178038	503
ALX1	ENSG00000180318	504
ALX3	ENSG00000156150	505
ALX4	ENSG00000052850	506
ALYREF	ENSG00000183684	507
AMACR	ENSG00000242110	508
AMBP	ENSG00000106927	509
AMBRA1	ENSG00000110497	510
AMD1	ENSG00000123505	511
AMDHD1	ENSG00000139344	512
AMDHD2	ENSG00000162066	513
AMELX	ENSG00000125363	514
AMELY	ENSG00000099721	515
AMER1	ENSG00000184675	516
AMER2	ENSG00000165566	517
AMER3	ENSG00000178171	518
AMFR	ENSG00000159461	519
AMH	ENSG00000104899	520
AMHR2	ENSG00000135409	521
AMIGO1	ENSG00000181754	522
AMIGO2	ENSG00000139211	523
AMMECR1L	ENSG00000144233	524
AMN	ENSG00000166126	525
AMOT	ENSG00000126016	526
AMOTL1	ENSG00000166025	527
AMOTL2	ENSG00000114019	528
AMPD1	ENSG00000116748	529
AMPD2	ENSG00000116337	530
AMT	ENSG00000145020	531
AMTN	ENSG00000187689	532
AMY1A	ENSG00000237763	533
AMY1B	ENSG00000174876	534
AMY1C	ENSG00000187733	535
AMY2A	ENSG00000243480	536
